id,code,name,account_type,tag_ids,reconcile,name@vi_VN
chart2122,2122,,asset_fixed,l10n_vn_viin.account_account_tag_212,,
chart213,213,Intangible fixed assets,asset_fixed,l10n_vn_viin.account_account_tag_213,False,"Tài sản cố định vô hình"
chart2131,2131,,asset_fixed,l10n_vn_viin.account_account_tag_213,,
chart2132,2132,,asset_fixed,l10n_vn_viin.account_account_tag_213,,
chart2133,2133,,asset_fixed,l10n_vn_viin.account_account_tag_213,,
chart2134,2134,,asset_fixed,l10n_vn_viin.account_account_tag_213,,
chart2135,2135,,asset_fixed,l10n_vn_viin.account_account_tag_213,,
chart2136,2136,,asset_fixed,l10n_vn_viin.account_account_tag_213,,
chart2138,2138,,asset_fixed,l10n_vn_viin.account_account_tag_213,,
chart214,214,Deprecation of fixed assets,asset_non_current,l10n_vn_viin.account_account_tag_214,False,"Hao mòn tài sản cố định"
chart2141,2141,,asset_non_current,"l10n_vn_viin.account_account_tag_214,l10n_vn_viin.account_account_tag_2141",,
chart2142,2142,,asset_non_current,l10n_vn_viin.account_account_tag_214,,
chart2143,2143,,asset_non_current,"l10n_vn_viin.account_account_tag_214,l10n_vn_viin.account_account_tag_2143",,
chart2147,2147,,asset_non_current,"l10n_vn_viin.account_account_tag_214,l10n_vn_viin.account_account_tag_2147",,
chart217,217,,asset_fixed,l10n_vn_viin.account_account_tag_217,,
chart221,221,,,"account.account_tag_investing,l10n_vn_viin.account_account_tag_221",,
chart222,222,,,"account.account_tag_investing,l10n_vn_viin.account_account_tag_222",,
chart228,228,Other investments,asset_non_current,l10n_vn_viin.account_account_tag_228,False,"Đầu tư khác"
chart2281,2281,,,"account.account_tag_investing,l10n_vn_viin.account_account_tag_228,l10n_vn_viin.account_account_tag_2281",,
chart2288,2288,Other investments,asset_non_current,"account.account_tag_investing,l10n_vn_viin.account_account_tag_228,l10n_vn_viin.account_account_tag_2288",,"Đầu tư khác"
chart229,229,Allowance for impairment of assets (credit balance),asset_non_current,l10n_vn_viin.account_account_tag_229,False,"Dự phòng tổn thất tài sản"
chart2291,2291,,,"l10n_vn_viin.account_account_tag_229,l10n_vn_viin.account_account_tag_2291",,
chart2292,2292,,,"l10n_vn_viin.account_account_tag_229,l10n_vn_viin.account_account_tag_2292",,
chart2293,2293,,,"l10n_vn_viin.account_account_tag_229,l10n_vn_viin.account_account_tag_2293",,
chart2294,2294,,,"l10n_vn_viin.account_account_tag_229,l10n_vn_viin.account_account_tag_2294",,
chart241,241,Construction in progress,asset_non_current,l10n_vn_viin.account_account_tag_241,False,"Xây dựng cơ bản dở dang"
chart2411,2411,,,"l10n_vn_viin.account_account_tag_241,l10n_vn_viin.account_account_tag_2411",,
chart2412,2412,,,"l10n_vn_viin.account_account_tag_241",,
chart2413,2413,,,l10n_vn_viin.account_account_tag_241,,
chart242,242,,,l10n_vn_viin.account_account_tag_242,,
chart243,243,,,l10n_vn_viin.account_account_tag_243,,
chart244,244,,,l10n_vn_viin.account_account_tag_244,,
chart331,331,,,l10n_vn_viin.account_account_tag_331,,
chart333,333,Taxes and other payables to State Budget,liability_current,"l10n_vn_viin.account_account_tag_333",True,"Thuế và các khoản phải nộp Nhà nước"
chart3331,3331,Value Added Tax (VAT),liability_current,"l10n_vn_viin.account_account_tag_333,l10n_vn_viin.account_account_tag_3331",True,"Thuế giá trị gia tăng phải nộp"
chart33311,33311,,,"l10n_vn_viin.account_account_tag_333,l10n_vn_viin.account_account_tag_3331",True,
chart33312,33312,,,"l10n_vn_viin.account_account_tag_333,l10n_vn_viin.account_account_tag_3331",True,
chart3332,3332,,,l10n_vn_viin.account_account_tag_333,True,
chart3333,3333,,,l10n_vn_viin.account_account_tag_333,True,
chart3334,3334,,,"l10n_vn_viin.account_account_tag_333,l10n_vn_viin.account_account_tag_3334",True,
chart3335,3335,,,l10n_vn_viin.account_account_tag_333,True,
chart3336,3336,,,l10n_vn_viin.account_account_tag_333,True,
chart3337,3337,,,l10n_vn_viin.account_account_tag_333,True,
chart3338,3338,Environment protection tax and other taxes,liability_current,"l10n_vn_viin.account_account_tag_333,l10n_vn_viin.account_account_tag_3338",True,"Thuế bảo vệ môi trường và các loại thuế khác"
chart33381,33381,,,"l10n_vn_viin.account_account_tag_333,l10n_vn_viin.account_account_tag_3338",True,
chart33382,33382,,,"l10n_vn_viin.account_account_tag_333,l10n_vn_viin.account_account_tag_3338",True,
chart3339,3339,,,l10n_vn_viin.account_account_tag_333,True,
chart334,334,Paybles to employees,liability_payable,l10n_vn_viin.account_account_tag_334,True,"Phải trả người lao động"
chart3341,3341,,,l10n_vn_viin.account_account_tag_334,,
chart3342,3342,Payables to others,liability_payable,l10n_vn_viin.account_account_tag_334,True,"Phải trả khác"
chart3348,3348,,,l10n_vn_viin.account_account_tag_334,,
chart335,335,,,l10n_vn_viin.account_account_tag_335,,
chart336,336,Intra-company payables,liability_payable,l10n_vn_viin.account_account_tag_336,True,"Phải trả nội bộ"
chart3361,3361,,,"l10n_vn_viin.account_account_tag_336,l10n_vn_viin.account_account_tag_3361",,
chart3362,3362,,,"l10n_vn_viin.account_account_tag_336,l10n_vn_viin.account_account_tag_3362",,
chart3363,3363,,,"l10n_vn_viin.account_account_tag_336,l10n_vn_viin.account_account_tag_3363",,
chart3368,3368,,,"l10n_vn_viin.account_account_tag_336,l10n_vn_viin.account_account_tag_3368",,
chart337,337,,,l10n_vn_viin.account_account_tag_337,,
chart338,338,Other payables,liability_payable,l10n_vn_viin.account_account_tag_338,True,"Phải trả, phả nộp khác"
chart3381,3381,,liability_current,"account.account_tag_operating,l10n_vn_viin.account_account_tag_338",,
chart3382,3382,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_338",,
chart3383,3383,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_338",,
chart3384,3384,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_338",,
